feature,bin,woe,coefficient,points
credit_score,"(299.999, 691.0]",-1.1653,-1.5147,37
credit_score,"(691.0, 732.0]",0.0242,-1.5147,89
credit_score,"(732.0, 764.0]",0.7079,-1.5147,119
credit_score,"(764.0, 789.0]",1.5269,-1.5147,155
credit_score,"(789.0, 850.0]",2.2659,-1.5147,187
credit_score,MISSING,-1.9202,-1.5147,4
original_ltv,"(5.999, 58.0]",1.2151,-0.6196,110
original_ltv,"(58.0, 72.0]",0.308,-0.6196,93
original_ltv,"(72.0, 80.0]",0.0567,-0.6196,89
original_ltv,"(80.0, 84.0]",-0.1465,-0.6196,85
original_ltv,"(84.0, 241.0]",-0.7478,-0.6196,75
original_ltv,MISSING,-2.8975,-0.6196,36
original_cltv,"(5.999, 59.0]",1.3215,-0.4659,106
original_cltv,"(59.0, 74.0]",0.3043,-0.4659,92
original_cltv,"(74.0, 80.0]",0.1058,-0.4659,89
original_cltv,"(80.0, 90.0]",-0.588,-0.4659,80
original_cltv,"(90.0, 854.0]",-0.6488,-0.4659,79
original_cltv,MISSING,-2.8975,-0.4659,49
original_dti,"(0.999, 25.0]",1.1089,-0.9284,118
original_dti,"(25.0, 33.0]",0.5826,-0.9284,104
original_dti,"(33.0, 39.0]",-0.015,-0.9284,88
original_dti,"(39.0, 45.0]",-0.2156,-0.9284,82
original_dti,"(45.0, 65.0]",-0.697,-0.9284,69
original_dti,MISSING,0.1375,-0.9284,92
original_loan_term,"(360.0, 480.0]",-1.8161,-0.1199,82
original_loan_term,"(59.999, 360.0]",0.0067,-0.1199,88
loan_purpose,C,-0.1524,-0.0953,88
loan_purpose,N,0.0772,-0.0953,88
loan_purpose,P,0.0665,-0.0953,88
occupancy_status,I,0.2783,-0.0555,88
occupancy_status,P,-0.0344,-0.0555,88
occupancy_status,S,0.2791,-0.0555,88
