vintage_year,loans,defaults,disposed_defaults,median_credit_score,median_original_upb,last_obs_period,pct_seasoned_12m,default_rate
2006,50000,6027,4066,729.0,158000.0,202509,0.938,0.1205
2007,50000,6870,4479,732.0,160000.0,202509,0.926,0.1374
2008,50000,3677,2134,753.0,183000.0,202509,0.86,0.0735
2009,50000,1137,543,771.0,188000.0,202509,0.958,0.0227
2010,50000,1095,496,772.0,178000.0,202509,0.944,0.0219
2011,50000,1019,379,773.0,178000.0,202509,0.913,0.0204
2012,50000,1115,379,773.0,181000.0,202509,0.953,0.0223
2013,50000,1175,305,762.0,176000.0,202509,0.97,0.0235
2014,50000,1188,202,757.0,184000.0,202509,0.931,0.0238
2015,50000,1209,136,760.0,200000.0,202509,0.949,0.0242
2016,50000,1365,91,757.0,215000.0,202509,0.957,0.0273
2017,50000,1803,93,752.0,207000.0,202509,0.954,0.0361
2018,50000,1714,62,753.0,207000.0,202509,0.916,0.0343
2019,50000,1674,36,757.0,232000.0,202509,0.854,0.0335
2020,50000,596,16,767.0,263000.0,202509,0.889,0.0119
2021,50000,434,12,760.0,259000.0,202509,0.955,0.0087
2022,50000,710,37,751.0,270000.0,202509,0.965,0.0142
