vintage_year,loans,default_rate,disposed_defaults,avg_lgd,avg_lgd_econ,avg_lgd_apra,median_lgd,avg_ead
2006,50000,0.1205,4066,0.5818,0.6356,0.6479,0.574,179409.77
2007,50000,0.1374,4479,0.5783,0.6323,0.6438,0.5631,186177.015
2008,50000,0.0735,2134,0.5441,0.5986,0.6134,0.5131,198213.9893
2009,50000,0.0227,543,0.4189,0.4702,0.4978,0.3591,180958.0616
2010,50000,0.0219,496,0.3975,0.4394,0.4728,0.3604,178322.7674
2011,50000,0.0204,379,0.3854,0.428,0.4643,0.3134,168727.3786
2012,50000,0.0223,379,0.3385,0.3731,0.4194,0.2942,171948.0959
2013,50000,0.0235,305,0.369,0.4015,0.4463,0.3045,164819.9005
2014,50000,0.0238,202,0.3564,0.4015,0.4483,0.2282,170015.0329
2015,50000,0.0242,136,0.2464,0.3033,0.3635,0.1678,197949.9096
2016,50000,0.0273,91,0.1809,0.2353,0.3204,0.0817,225394.192
2017,50000,0.0361,93,0.2162,0.277,0.3374,0.0721,227853.4623
2018,50000,0.0343,62,0.2069,0.2831,0.3412,0.0725,231620.0671
2019,50000,0.0335,36,0.1978,0.2722,0.3157,0.1109,260720.9412
2020,50000,0.0119,16,0.2699,0.3039,0.4058,0.1384,283484.4539
2021,50000,0.0087,12,0.3117,0.3492,0.4096,0.1767,287151.5878
2022,50000,0.0142,37,0.3465,0.3764,0.4379,0.1638,295058.398
