driver,band,default_rate
credit_score,<620,0.2175
credit_score,620-659,0.141
credit_score,660-699,0.0825
credit_score,700-739,0.0479
credit_score,740-779,0.0239
credit_score,780+,0.0106
ltv,<60,0.018
ltv,60-69,0.0305
ltv,70-79,0.0392
ltv,80-89,0.0445
ltv,90+,0.0602
vintage,2006,0.1205
vintage,2007,0.1374
vintage,2008,0.0735
vintage,2009,0.0227
vintage,2010,0.0219
vintage,2011,0.0204
vintage,2012,0.0223
vintage,2013,0.0235
vintage,2014,0.0238
vintage,2015,0.0242
vintage,2016,0.0273
vintage,2017,0.0361
vintage,2018,0.0343
vintage,2019,0.0335
vintage,2020,0.0119
vintage,2021,0.0087
vintage,2022,0.0142
