variable,coefficient,odds_ratio_per_1sd
intercept,-6.2985,0.0018
credit_score,-0.6422,0.5261
original_dti,0.3717,1.4502
original_interest_rate,0.3315,1.3931
original_loan_term,0.2927,1.34
original_ltv,0.2341,1.2638
original_cltv,0.1374,1.1473
loan_purpose_P,-0.092,0.9121
channel_B,0.0903,1.0945
channel_R,-0.0843,0.9191
channel_T,0.0683,1.0707
loan_purpose_C,0.0625,1.0645
occupancy_status_I,-0.0502,0.9511
occupancy_status_P,0.0431,1.044
loan_purpose_N,0.039,1.0397
channel_C,-0.007,0.993
occupancy_status_S,-0.0036,0.9964
