feature,bin,woe,coefficient,points
credit_score,"(299.999, 705.0]",-1.0517,-1.436,47
credit_score,"(705.0, 744.0]",-0.0566,-1.436,89
credit_score,"(744.0, 772.0]",0.5668,-1.436,115
credit_score,"(772.0, 793.0]",1.1375,-1.436,138
credit_score,"(793.0, 850.0]",1.7695,-1.436,164
credit_score,MISSING,-1.0319,-1.436,48
original_ltv,"(2.999, 57.0]",0.9869,-0.5648,107
original_ltv,"(57.0, 72.0]",0.2671,-0.5648,95
original_ltv,"(72.0, 80.0]",0.0611,-0.5648,92
original_ltv,"(80.0, 87.0]",-0.4435,-0.5648,84
original_ltv,"(87.0, 684.0]",-0.6246,-0.5648,81
original_ltv,MISSING,-1.9947,-0.5648,59
original_cltv,"(2.999, 59.0]",0.9872,-0.5819,108
original_cltv,"(59.0, 73.0]",0.2584,-0.5819,95
original_cltv,"(73.0, 80.0]",0.1245,-0.5819,93
original_cltv,"(80.0, 90.0]",-0.4526,-0.5819,83
original_cltv,"(90.0, 854.0]",-0.6453,-0.5819,80
original_cltv,MISSING,-1.9391,-0.5819,59
original_dti,"(0.999, 25.0]",1.1242,-0.9685,122
original_dti,"(25.0, 32.0]",0.6015,-0.9685,108
original_dti,"(32.0, 38.0]",0.1188,-0.9685,94
original_dti,"(38.0, 44.0]",-0.2841,-0.9685,83
original_dti,"(44.0, 65.0]",-0.6809,-0.9685,72
original_dti,MISSING,-0.1892,-0.9685,86
original_loan_term,"(240.0, 360.0]",-0.1836,0.3291,93
original_loan_term,"(360.0, 513.0]",-2.2753,0.3291,113
original_loan_term,"(59.999, 240.0]",1.0809,0.3291,81
loan_purpose,C,-0.2086,-0.1551,90
loan_purpose,N,0.1314,-0.1551,92
loan_purpose,P,0.0265,-0.1551,91
occupancy_status,I,0.2633,-0.0655,92
occupancy_status,P,-0.0316,-0.0655,91
occupancy_status,S,0.3674,-0.0655,92
