loan_sequence_number,grade,grade_pd_longrun,grade_pd_final
F07Q10000023,C,0.0015,0.002
F07Q10000059,G,0.0129,0.0143
F07Q10000092,C,0.0015,0.002
F07Q10000141,F,0.0098,0.011
F07Q10000187,F,0.0098,0.011
F07Q10000196,H,0.0236,0.0267
F07Q10000256,G,0.0129,0.0143
F07Q10000269,C,0.0015,0.002
F07Q10000270,G,0.0129,0.0143
F07Q10000365,A,0.0005,0.0008
F07Q10000382,H,0.0236,0.0267
F07Q10000414,A,0.0005,0.0008
F07Q10000455,B,0.0012,0.0016
F07Q10000495,A,0.0005,0.0008
F07Q10000555,E,0.006,0.0069
F07Q10000581,G,0.0129,0.0143
F07Q10000653,G,0.0129,0.0143
F07Q10000685,D,0.0025,0.0031
F07Q10000732,B,0.0012,0.0016
F07Q10000749,G,0.0129,0.0143
F07Q10000756,C,0.0015,0.002
F07Q10000814,D,0.0025,0.0031
F07Q10000828,A,0.0005,0.0008
F07Q10000847,G,0.0129,0.0143
F07Q10000900,B,0.0012,0.0016
F07Q10000902,F,0.0098,0.011
F07Q10000934,H,0.0236,0.0267
F07Q10000951,E,0.006,0.0069
F07Q10000957,C,0.0015,0.002
F07Q10000986,C,0.0015,0.002
F07Q10001048,B,0.0012,0.0016
F07Q10001059,C,0.0015,0.002
F07Q10001075,A,0.0005,0.0008
F07Q10001106,E,0.006,0.0069
F07Q10001122,D,0.0025,0.0031
F07Q10001129,H,0.0236,0.0267
F07Q10001324,F,0.0098,0.011
F07Q10001424,H,0.0236,0.0267
F07Q10001432,E,0.006,0.0069
F07Q10001460,F,0.0098,0.011
F07Q10001480,D,0.0025,0.0031
F07Q10001482,C,0.0015,0.002
F07Q10001511,E,0.006,0.0069
F07Q10001551,C,0.0015,0.002
F07Q10001579,D,0.0025,0.0031
F07Q10001586,E,0.006,0.0069
F07Q10001622,H,0.0236,0.0267
F07Q10001726,D,0.0025,0.0031
F07Q10001727,H,0.0236,0.0267
F07Q10001758,A,0.0005,0.0008
F07Q10001829,D,0.0025,0.0031
F07Q10001887,D,0.0025,0.0031
F07Q10001923,E,0.006,0.0069
F07Q10001932,F,0.0098,0.011
F07Q10001961,D,0.0025,0.0031
F07Q10001963,C,0.0015,0.002
F07Q10001988,E,0.006,0.0069
F07Q10002114,D,0.0025,0.0031
F07Q10002136,H,0.0236,0.0267
F07Q10002200,E,0.006,0.0069
F07Q10002252,F,0.0098,0.011
F07Q10002320,C,0.0015,0.002
F07Q10002330,D,0.0025,0.0031
F07Q10002338,H,0.0236,0.0267
F07Q10002359,G,0.0129,0.0143
F07Q10002381,F,0.0098,0.011
F07Q10002430,G,0.0129,0.0143
F07Q10002480,D,0.0025,0.0031
F07Q10002488,G,0.0129,0.0143
F07Q10002489,H,0.0236,0.0267
F07Q10002498,E,0.006,0.0069
F07Q10002503,G,0.0129,0.0143
F07Q10002541,B,0.0012,0.0016
F07Q10002547,H,0.0236,0.0267
F07Q10002609,G,0.0129,0.0143
F07Q10002644,F,0.0098,0.011
F07Q10002663,A,0.0005,0.0008
F07Q10002824,H,0.0236,0.0267
F07Q10002887,D,0.0025,0.0031
F07Q10002926,A,0.0005,0.0008
F07Q10002940,G,0.0129,0.0143
F07Q10002975,E,0.006,0.0069
F07Q10002976,D,0.0025,0.0031
F07Q10003083,E,0.006,0.0069
F07Q10003115,H,0.0236,0.0267
F07Q10003123,F,0.0098,0.011
F07Q10003128,C,0.0015,0.002
F07Q10003213,B,0.0012,0.0016
F07Q10003269,H,0.0236,0.0267
F07Q10003283,F,0.0098,0.011
F07Q10003287,E,0.006,0.0069
F07Q10003294,F,0.0098,0.011
F07Q10003333,D,0.0025,0.0031
F07Q10003385,G,0.0129,0.0143
F07Q10003387,A,0.0005,0.0008
F07Q10003397,F,0.0098,0.011
F07Q10003423,G,0.0129,0.0143
F07Q10003431,E,0.006,0.0069
F07Q10003609,H,0.0236,0.0267
F07Q10003639,B,0.0012,0.0016
F07Q10003694,F,0.0098,0.011
F07Q10003708,H,0.0236,0.0267
F07Q10003791,G,0.0129,0.0143
F07Q10003827,F,0.0098,0.011
F07Q10003849,C,0.0015,0.002
F07Q10003866,E,0.006,0.0069
F07Q10003907,G,0.0129,0.0143
F07Q10003917,C,0.0015,0.002
F07Q10003938,A,0.0005,0.0008
F07Q10004002,H,0.0236,0.0267
F07Q10004041,H,0.0236,0.0267
F07Q10004046,C,0.0015,0.002
F07Q10004116,H,0.0236,0.0267
F07Q10004122,H,0.0236,0.0267
F07Q10004143,E,0.006,0.0069
F07Q10004155,C,0.0015,0.002
F07Q10004192,H,0.0236,0.0267
F07Q10004244,H,0.0236,0.0267
F07Q10004253,H,0.0236,0.0267
F07Q10004302,C,0.0015,0.002
F07Q10004336,H,0.0236,0.0267
F07Q10004380,G,0.0129,0.0143
F07Q10004408,D,0.0025,0.0031
F07Q10004420,H,0.0236,0.0267
F07Q10004501,G,0.0129,0.0143
F07Q10004579,H,0.0236,0.0267
F07Q10004602,D,0.0025,0.0031
F07Q10004628,E,0.006,0.0069
F07Q10004656,B,0.0012,0.0016
F07Q10004696,D,0.0025,0.0031
F07Q10004700,B,0.0012,0.0016
F07Q10004769,A,0.0005,0.0008
F07Q10004789,B,0.0012,0.0016
F07Q10004923,F,0.0098,0.011
F07Q10004952,H,0.0236,0.0267
F07Q10004965,B,0.0012,0.0016
F07Q10005005,A,0.0005,0.0008
F07Q10005027,A,0.0005,0.0008
F07Q10005075,B,0.0012,0.0016
F07Q10005089,D,0.0025,0.0031
F07Q10005100,A,0.0005,0.0008
F07Q10005117,E,0.006,0.0069
F07Q10005124,F,0.0098,0.011
F07Q10005194,B,0.0012,0.0016
F07Q10005201,C,0.0015,0.002
F07Q10005203,D,0.0025,0.0031
F07Q10005213,D,0.0025,0.0031
F07Q10005257,C,0.0015,0.002
F07Q10005383,B,0.0012,0.0016
F07Q10005409,D,0.0025,0.0031
F07Q10005445,B,0.0012,0.0016
F07Q10005489,H,0.0236,0.0267
F07Q10005505,G,0.0129,0.0143
F07Q10005519,F,0.0098,0.011
F07Q10005540,G,0.0129,0.0143
F07Q10005564,H,0.0236,0.0267
F07Q10005579,A,0.0005,0.0008
F07Q10005581,C,0.0015,0.002
F07Q10005584,D,0.0025,0.0031
F07Q10005620,B,0.0012,0.0016
F07Q10005635,C,0.0015,0.002
F07Q10005646,C,0.0015,0.002
F07Q10005672,A,0.0005,0.0008
F07Q10005710,D,0.0025,0.0031
F07Q10005758,G,0.0129,0.0143
F07Q10005774,B,0.0012,0.0016
F07Q10005785,E,0.006,0.0069
F07Q10005800,F,0.0098,0.011
F07Q10005813,F,0.0098,0.011
F07Q10005962,H,0.0236,0.0267
F07Q10005973,E,0.006,0.0069
F07Q10005992,F,0.0098,0.011
F07Q10005996,F,0.0098,0.011
F07Q10006130,G,0.0129,0.0143
F07Q10006144,F,0.0098,0.011
F07Q10006147,H,0.0236,0.0267
F07Q10006209,F,0.0098,0.011
F07Q10006229,G,0.0129,0.0143
F07Q10006266,B,0.0012,0.0016
F07Q10006285,C,0.0015,0.002
F07Q10006296,C,0.0015,0.002
F07Q10006346,D,0.0025,0.0031
F07Q10006361,E,0.006,0.0069
F07Q10006411,G,0.0129,0.0143
F07Q10006425,E,0.006,0.0069
F07Q10006461,E,0.006,0.0069
F07Q10006476,C,0.0015,0.002
F07Q10006479,G,0.0129,0.0143
F07Q10006572,F,0.0098,0.011
F07Q10006618,F,0.0098,0.011
F07Q10006715,F,0.0098,0.011
F07Q10006844,E,0.006,0.0069
F07Q10006906,D,0.0025,0.0031
F07Q10006910,D,0.0025,0.0031
F07Q10006994,C,0.0015,0.002
F07Q10007106,G,0.0129,0.0143
F07Q10007159,B,0.0012,0.0016
F07Q10007161,G,0.0129,0.0143
F07Q10007186,D,0.0025,0.0031
F07Q10007192,B,0.0012,0.0016
F07Q10007241,C,0.0015,0.002
F07Q10007260,H,0.0236,0.0267
F07Q10007307,D,0.0025,0.0031
F07Q10007318,F,0.0098,0.011
F07Q10007332,H,0.0236,0.0267
F07Q10007335,F,0.0098,0.011
F07Q10007368,H,0.0236,0.0267
F07Q10007418,D,0.0025,0.0031
F07Q10007482,C,0.0015,0.002
F07Q10007559,E,0.006,0.0069
F07Q10007574,E,0.006,0.0069
F07Q10007616,C,0.0015,0.002
F07Q10007626,C,0.0015,0.002
F07Q10007671,E,0.006,0.0069
F07Q10007696,D,0.0025,0.0031
F07Q10007719,D,0.0025,0.0031
F07Q10007944,G,0.0129,0.0143
F07Q10008044,G,0.0129,0.0143
F07Q10008058,B,0.0012,0.0016
F07Q10008075,D,0.0025,0.0031
F07Q10008091,G,0.0129,0.0143
F07Q10008130,A,0.0005,0.0008
F07Q10008145,D,0.0025,0.0031
F07Q10008159,A,0.0005,0.0008
F07Q10008160,G,0.0129,0.0143
F07Q10008172,B,0.0012,0.0016
F07Q10008229,D,0.0025,0.0031
F07Q10008254,E,0.006,0.0069
F07Q10008259,F,0.0098,0.011
F07Q10008276,H,0.0236,0.0267
F07Q10008324,E,0.006,0.0069
F07Q10008330,A,0.0005,0.0008
F07Q10008388,A,0.0005,0.0008
F07Q10008425,C,0.0015,0.002
F07Q10008455,G,0.0129,0.0143
F07Q10008470,G,0.0129,0.0143
F07Q10008508,D,0.0025,0.0031
F07Q10008517,D,0.0025,0.0031
F07Q10008521,F,0.0098,0.011
F07Q10008522,E,0.006,0.0069
F07Q10008524,A,0.0005,0.0008
F07Q10008527,F,0.0098,0.011
F07Q10008574,A,0.0005,0.0008
F07Q10008606,H,0.0236,0.0267
F07Q10008626,A,0.0005,0.0008
F07Q10008690,G,0.0129,0.0143
F07Q10008768,H,0.0236,0.0267
F07Q10008776,E,0.006,0.0069
F07Q10008795,G,0.0129,0.0143
F07Q10008817,H,0.0236,0.0267
F07Q10008893,D,0.0025,0.0031
F07Q10008913,F,0.0098,0.011
F07Q10008928,H,0.0236,0.0267
F07Q10009123,F,0.0098,0.011
F07Q10009138,G,0.0129,0.0143
F07Q10009148,E,0.006,0.0069
F07Q10009154,E,0.006,0.0069
F07Q10009160,C,0.0015,0.002
F07Q10009183,F,0.0098,0.011
F07Q10009235,A,0.0005,0.0008
F07Q10009249,D,0.0025,0.0031
F07Q10009284,E,0.006,0.0069
F07Q10009410,E,0.006,0.0069
F07Q10009418,H,0.0236,0.0267
F07Q10009430,H,0.0236,0.0267
F07Q10009525,H,0.0236,0.0267
F07Q10009563,A,0.0005,0.0008
F07Q10009582,G,0.0129,0.0143
F07Q10009589,E,0.006,0.0069
F07Q10009592,D,0.0025,0.0031
F07Q10009611,C,0.0015,0.002
F07Q10009630,E,0.006,0.0069
F07Q10009662,F,0.0098,0.011
F07Q10009676,F,0.0098,0.011
F07Q10009704,A,0.0005,0.0008
F07Q10009745,E,0.006,0.0069
F07Q10009755,B,0.0012,0.0016
F07Q10009799,A,0.0005,0.0008
F07Q10009811,F,0.0098,0.011
F07Q10009844,G,0.0129,0.0143
