vintage_year,defaults,mean_ead,median_ead,p95_ead,total_ead
2006,6027,179409.77,163796.68,358741.69,1081302683.86
2007,6870,186177.02,168815.41,378126.33,1279036093.15
2008,3677,198213.99,177327.8,399580.18,728832838.63
2009,1137,180958.06,158703.65,384794.31,205749316.07
2010,1095,178322.77,158324.65,366694.96,195263430.35
2011,1019,168727.38,150090.81,355698.55,171933198.82
2012,1115,171948.1,159301.52,344490.51,191722126.95
2013,1175,164819.9,145236.27,348874.4,193663383.11
2014,1188,170015.03,143064.86,375122.03,201977859.1
2015,1209,197949.91,172449.07,395785.9,239321440.69
2016,1365,225394.19,205032.91,429607.16,307663072.07
2017,1803,227853.46,202561.84,472531.07,410819792.5
2018,1714,231620.07,202149.2,446704.01,396996794.97
2019,1674,260720.94,232841.35,504110.13,436446855.61
2020,596,283484.45,260911.45,544317.86,168956734.54
2021,434,287151.59,254717.48,557983.41,124623789.09
2022,710,295058.4,244539.75,624823.25,209491462.58
